competency,question,answer1,answer2,answer3,answer4
Innovation,Prioritizes disruptive innovation to achieve substantial growth and maintain a competitive edge in the marketplace.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Seeks new ideas and adapts to changing environments.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Follows through and implements innovation initiatives.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Facilitates ongoing technical training and development to enable employees to contribute to innovative solutions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Challenges current procedures / processes to develop new solutions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets performance metrics to measure achievement or attainment of goals.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Met required benchmarks for the position.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Driven to complete goals despite obstacles that may arise.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Is determined to complete tasks regardless of obstacles that may occur.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Demonstrates a sense of urgency to quickly and accurately solve problems and issues.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Adjusts priorities to the new Corporate mission.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Effective in working with different personnel of the team.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Accommodates changes as needed.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Continually trying to improve skills to remain current.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Adjusts plans to meet the needs of new constraints.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Drives and mobilizes others progress toward goals.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,"Makes effective decisions, even when under pressure.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets high standards for themselves and others.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Anticipates critical incidents in the department and takes steps to mitigate their effect.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Works across organizational lines and boundaries to attain goals.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Views setbacks as opportunities to learn from.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Is open to new ideas and concepts.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Takes charge of their training and skills enhancement.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Pursues professional development opportunities when they arise.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Pursues learning that will enhance job performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets clear goals and objectives for subordinates.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets a high level of performance expectations and challenges others to do the same.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Is a highly effective supervisor.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Holds others accountable for their actions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,"Gives direct, constructive, and actionable feedback.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Ensures employees understand how work is to be completed.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Implements remediation plans that include specific performance goals in areas most in need of improvement.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets clear and ambitious goals to be met.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Determines the Objectives and Key Results (OKRs) needed for the position.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Recognizes team members when they contribute significantly to the team.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Listens and responds to issues and problems,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Effective in performing his/her job.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Has great overall performance,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Sets a high standard for job performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Able to organize work.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,"Creates diverse teams of individuals with different backgrounds, skills, and abilities.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Expresses appreciation of other's work.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Demonstrates compassion and understanding of others.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Shows appreciation for other's work.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Communicates well at all levels of the organization.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Develops the skills and capabilities of others.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,"Provides clear, motivating, and constructive feedback.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Coaches employees in how to strengthen knowledge and skills to improve work performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Conducts regular performance appraisals and feedback.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Addresses employee behavior problems effectively.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Maintains a high level of energy to respond to demands of the job.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Balances risks and rewards when making decisions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Finds unique ways to go around barriers to success.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Devotes a certain amount of time and effort to developing new business opportunities.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Encourages risk taking for developing potential business opportunities.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Innovation,Identifies the opportunities created by innovations.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Facilitates networking events or brainstorming sessions where employees can share insights and inspirations.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Creates new and efficient processes.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Promotes innovation as an opportunity to gain competitive advantages in the marketplace.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Celebrates innovative achievements publicly to motivate others and reinforce the importance of innovation.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Identifies gaps between actual and needed technical competencies and provides recommendations for required training.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Maximizes the use of new technology to deliver products and services.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Uses technology in decision making and problem solving.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Supports employee training and development initiatives regarding implementation of technology.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Supports technical training and development of employees.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Is creative.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Inspires creativity in their team.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Creates a lot of new ideas.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Adds value to the department/organization.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Is creative and inspirational.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Steps away from a situation to process appropriate response.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Uses patience and self-control in working with customers and associates.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,"Sets an example for associates during stressful periods by maintaining a positive, can-do attitude.",Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Analyzes interpersonal problems instead of reacting to them.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Analyzes own reactions on the spot to ensure that communication does not appear to be driven by anger.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Maintains an efficient schedule of activities.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Starts meetings on time.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Responds to requests for information in a timely manner.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Arrives to meetings on time.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Conducts appointments at scheduled start time.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Is gracious and professional in their interactions with others.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Shows by their actions that they trust in the positive intentions of others.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Contributes to a positive work environment.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Visibly supports and encourages diversity in style and background.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Builds open and trusting relationships.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Communicates effectively with others.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Persuades others to consider alternative points of view.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Seeks to obtain consensus or compromise.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Attempts to persuade others rather than simply control them.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Able to express own goals and needs.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Avoids stating unclear or conflicting goals.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Uses appropriate grammar and tense in communications.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Adjusts communication methods to the needs of the audience.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Clarifies problems and their causes to help employees correct them.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Maintains clarity in goals and objectives.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Understands the needs of the client.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Is committed to resolving client issues in a positive way.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Is committed to the success of the client.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Uses feedback from clients to help improve services.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Views client satisfaction as an everyday priority.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Gives others development opportunities through project assignments and increased job responsibilities,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Provides ongoing feedback to co-workers on their development progress,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Works to identify root causes of performance problems,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,"Sets and clearly communicates expectations, performance goals, and measurements to others",Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Adapts coaching and mentoring approach to meet the style or needs of individuals,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Understands the use of [Company] products and services.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Attends [Company] gatherings and social events.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Understands how decisions impact other business units beyond their immediate department of work group.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Follows existing procedures and processes.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,"Understands the ""basics"" as to how [Company] functions/operates.",Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Monitors spending.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Develops of the department's annual budget.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Keeps excellent records for financial transparency.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Develops budgets and plans for various programs and initiatives.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Provides budgeting and accounting support to the Company.,Clear Strength,Capable and Effective,Could Benefit from Development,Needs Significant Improvement
Innovation,Simplifies processes and reduce bureaucratic hurdles that might stifle creativity and innovation.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Modifies innovative initiatives to capitalize on strengths and mitigate potential risks.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Challenges existing work processes/products to enhance value.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Looks for opportunities to apply new and evolving technologies.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Fosters a creative and innovative work environment.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Keeps current with technical advances within his/her professional discipline; embraces and applies new techniques and practices,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Knows how to produce high quality products/work.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Is knowledgeable of procedures or systems necessary for the job.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Uses expertise to identify issues and think through creative solutions to get a problem solved or objective accomplished.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Willingly shares his/her technical expertise; sought out as resource by others,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Identifies gaps between actual and needed technical competencies and provides recommendations for required training.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Applies complex rules and regulations to maintain optimal system performance.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Adopts the implementation of new technology into the workplace.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Proficient in the use of technical systems and processes.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Supports employee training and development initiatives regarding implementation of technology.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Seeks to mitigate grievances by clarifying intentions and finding suitable remedies.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Demonstrates a sense of responsibility and commitment to public trust.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Builds and maintains the trust of others.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Takes care to maintain confidential information.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Works in a way that makes others want to work with her/him.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Supports the successes of other employees.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Is open to receiving feedback.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Recognizes and celebrates accomplishments of others.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Creates a work environment that fosters positive feedback to employees.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Sets performance objectives for subordinates that encourages development opportunities.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Encourages an employee culture of continuous improvement to seek out better ways of doing things.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Looks for ways to expand current job responsibilities.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Open to the suggestions from others.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Promotes training and development opportunities to enhance job performance.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Analyzes processes to determine areas for improvement.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Identifies critical requirements for each phase of the project.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,"Plans who, when, and what work needs to get done.",Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Outlines key project dates and milestones.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Prepares contingency plans to avoid supply chain disruptions.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Regularly measures and records progress of the project.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Encourages and empowers subordinates to use initiative in achieving goals and objectives.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,"Delegates tasks, responsibilities, and accountability as appropriate to the level of employee.",Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Sets clear and reasonable expectations for others and follows through on their progress.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Allows subordinates to use their own methods and procedures.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Clearly defines duties and tasks to be completed.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Promotes quality improvement practices in the department.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Ensures the hiring of employees that have a quality focus.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Is flexible in addressing issues related to quality.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Evaluates and improves the quality of services and products.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Able to anticipate quality issues and take preventative actions.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Can effectively interpret and analyze market data.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Provides a high level of business services to customers.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Responds quickly to customer business inquiries.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Understands the critical business needs of the customer.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
Innovation,Able to align resources to meet the business needs of the company.,Does Not Exhibit this Competency,Seldom Exhibits this Competency,Sometimes Exhibits this Competency,Usually Exhibits this Competency
